Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Ensembl Gene ID,Chromosome,WikiPathways,Gene Symbol,KEGG Pathways,Reactome Pathways,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F1: 126, Sample","Abundances (Normalized): F1: 127N, Sample","Abundances (Normalized): F1: 127C, Sample","Abundances (Normalized): F1: 128N, Sample","Abundances (Normalized): F1: 128C, Sample","Abundances (Normalized): F1: 129N, Sample","Abundances (Normalized): F1: 129C, Sample","Abundances (Normalized): F1: 130N, Sample","Abundances (Normalized): F1: 130C, Sample","Abundances (Normalized): F1: 131, Sample","Abundance: F1: 126, Sample","Abundance: F1: 127N, Sample","Abundance: F1: 127C, Sample","Abundance: F1: 128N, Sample","Abundance: F1: 128C, Sample","Abundance: F1: 129N, Sample","Abundance: F1: 129C, Sample","Abundance: F1: 130N, Sample","Abundance: F1: 130C, Sample","Abundance: F1: 131, Sample","Found in Sample: [S1] F1: 126, Sample","Found in Sample: [S3] F1: 127C, Sample","Found in Sample: [S2] F1: 127N, Sample","Found in Sample: [S5] F1: 128C, Sample","Found in Sample: [S4] F1: 128N, Sample","Found in Sample: [S7] F1: 129C, Sample","Found in Sample: [S6] F1: 129N, Sample","Found in Sample: [S9] F1: 130C, Sample","Found in Sample: [S8] F1: 130N, Sample","Found in Sample: [S10] F1: 131, Sample",# Protein Groups,Modifications
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,FALSE,670.946,80,65,334,27,646,70.9,5.52,1194.61,65,cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;endosome;extracellular;membrane;nucleus;organelle lumen;spliceosomal complex,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00012, Pf02463, Pf06723",3312,ENSG00000109971.13,11,Parkin-Ubiquitin Proteasomal System pathway; MAPK Signaling Pathway; Exercise-induced Circadian Regulation,HSPA8,Measles; MAPK signaling pathway; Longevity regulating pathway - multiple species; Antigen processing and presentation; Influenza A; Protein processing in endoplasmic reticulum; Epstein-Barr virus infection; Legionellosis; Estrogen signaling pathway; Toxoplasmosis; Spliceosome; Endocytosis,"Protein methylation; Clathrin-mediated endocytosis; Regulation of HSF1-mediated heat shock response; Golgi Associated Vesicle Biogenesis; GABA synthesis, release, reuptake and degradation; Lysosome Vesicle Biogenesis; CHL1 interactions; AUF1 (hnRNP D0) binds and destabilizes mRNA; Attenuation phase; Neutrophil degranulation; mRNA Splicing - Major Pathway; Interleukin-4 and 13 signaling; HSP90 chaperone cycle for steroid hormone receptors (SHR)",52,60,59011,67243.6,77892.4,66938.6,69315,62064.4,51328.3,43738.4,27531.7,27781.5,56232.2,67243.6,67992,58170.1,44559.4,22881.1,14821.9,10888.6,4625.5,4120.7,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,0,FALSE,645.64,53,108,200,86,1976,228.9,5.54,721.58,108,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;transport,cytoplasm;cytosol;nucleus,catalytic activity;motor activity;nucleotide binding;protein binding;transporter activity,"Pf00063, Pf00769, Pf01496, Pf01576, Pf02736, Pf04111, Pf05622, Pf05911, Pf06637, Pf07888, Pf09726, Pf12128, Pf13094, Pf13514",4628,ENSG00000133026.12,17,Regulation of Actin Cytoskeleton,MYH10,Salmonella infection; Regulation of actin cytoskeleton; Tight junction,RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; RHO GTPases activate CIT; RHO GTPases activate PKNs,18,4,24557,28421.9,28716,27352.7,25013,20727,20914.4,21432.3,13568.3,13759.9,23400.6,28421.9,25066.1,23769.7,16079.7,7641.4,6039.4,5335.5,2279.6,2040.9,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,0,FALSE,635.536,33,138,190,138,4646,532.1,6.4,587.91,138,cell division;cell organization and biogenesis;cellular component movement;regulation of biological process;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen,catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding,"Pf00769, Pf03028, Pf03915, Pf04156, Pf07246, Pf07728, Pf08385, Pf08393, Pf12774, Pf12775, Pf12777, Pf12780, Pf12781, Pf13173, Pf13207, Pf13401",1778,ENSG00000197102.10,14,,DYNC1H1,Vasopressin-regulated water reabsorption; Phagosome; Salmonella infection,COPI-independent Golgi-to-ER retrograde traffic; Regulation of PLK1 Activity at G2/M Transition; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Recruitment of NuMA to mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Loss of Nlp from mitotic centrosomes; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Neutrophil degranulation; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; COPI-mediated anterograde transport; MHC class II antigen presentation; HSP90 chaperone cycle for steroid hormone receptors (SHR),50,0,27455.4,26429.8,26950,27298,26030.8,19833.7,19606.2,19453.5,16060.5,16481.6,26162.6,26429.8,23524.6,23722.1,16734,7312,5661.6,4842.9,2698.3,2444.6,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",0,FALSE,625.539,73,68,307,60,644,66,8.12,1140.57,68,cell death;defense response;metabolic process;regulation of biological process;response to stimulus;transport,cytoskeleton;cytosol;extracellular;membrane;nucleus,catalytic activity;motor activity;protein binding;receptor activity;structural molecule activity,"Pf00038, Pf01576, Pf05103, Pf05957, Pf12128, Pf13166, Pf13514",3848,ENSG00000167768.4,12,Corticotropin-releasing hormone signaling pathway,KRT1,,Formation of the cornified envelope; Neutrophil degranulation,7,11,89098.3,23060.4,22460.6,52457,23869.2,24784.2,32129,75723.9,314271.6,221309.7,84902.8,23060.4,19605.8,45585.5,15344.4,9137.1,9277.8,18851.2,52799.8,32825.5,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,0,FALSE,596.608,88,40,303,40,335,36,8.46,1011.81,40,cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding,"Pf00044, Pf02800",2597,ENSG00000111640.14,12,Cori Cycle; Alzheimers Disease; Glycolysis and Gluconeogenesis; Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,GAPDH,Metabolic pathways; Alzheimer's disease; Glycolysis / Gluconeogenesis; HIF-1 signaling pathway; Biosynthesis of amino acids; Carbon metabolism,Gluconeogenesis; Glycolysis,15,0,38145.5,37697.6,43734.7,40056.5,45912.4,50818.9,75053.9,53723.3,21325.8,19265.9,36349.3,37697.6,38175.8,34809.4,29515,18735.2,21673.1,13374.3,3582.9,2857.6,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A0G2JIW1,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,0,FALSE,582.902,75,61,196,44,642,70.1,5.66,758.8,61,cell organization and biogenesis,,nucleotide binding,"Pf00012, Pf06723",,ENSG00000232804.5; ENSG00000212866.6; ENSG00000224501.5,CHR_HSCHR6_MHC_APD_CTG1; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_COX_CTG1,,,,,0,8,34123.4,36160,41223.9,37440.2,36911.1,30127.4,24977.1,20563.7,16159.8,16518.5,32516.6,36160,35984.2,32535.8,23728.4,11107,7212.6,5119.3,2715,2450.1,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,0,FALSE,570.095,48,137,183,137,5890,628.7,6.15,569.21,137,cell organization and biogenesis;regulation of biological process,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,protein binding;RNA binding;structural molecule activity,,79026,ENSG00000124942.13,11,,AHNAK,,,0,0,35029.2,25193.1,24004.7,26396.2,25389.3,27388.7,24503.2,32817.3,30228,45144.6,33379.8,25193.1,20953.6,22938.5,16321.6,10097.3,7075.7,8169.8,5078.5,6696,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS PE=1 SV=5,0,FALSE,567.287,56,85,166,85,1512,170.5,7.33,594.78,85,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;membrane,catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding,"Pf00458, Pf00587, Pf00749, Pf01406, Pf03129, Pf03950, Pf09180, Pf14497",2058,ENSG00000136628.17,1,Parkinsons Disease Pathway; Amino Acid metabolism,EPRS,Porphyrin and chlorophyll metabolism; Aminoacyl-tRNA biosynthesis; Metabolic pathways,tRNA modification in the nucleus and cytosol; Cytosolic tRNA aminoacylation; SeMet incorporation into proteins,16,0,39710.8,39844.5,24089,27436,22576.7,16154.4,17522.1,18519.7,18349.5,17051.9,37840.8,39844.5,21027.2,23842.1,14513.5,5955.6,5059.8,4610.4,3082.8,2529.2,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,0,FALSE,563.864,45,99,154,98,2363,267.1,5.02,547.4,99,cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,chromosome;cytoplasm;cytoskeleton;membrane;nucleus,catalytic activity;motor activity;protein binding;RNA binding;structural molecule activity;transporter activity,"Pf00038, Pf01496, Pf01576, Pf02463, Pf03961, Pf04111, Pf05911, Pf07888, Pf07926, Pf09726, Pf12128, Pf13166, Pf13514",7175,ENSG00000047410.13,1,,TPR,RNA transport; Thyroid cancer; Pathways in cancer,Rev-mediated nuclear export of HIV RNA; ISG15 antiviral mechanism; NEP/NS2 Interacts with the Cellular Export Machinery; tRNA processing in the nucleus; Transcriptional regulation by small RNAs; Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC); Nuclear Pore Complex (NPC) Disassembly; Regulation of Glucokinase by Glucokinase Regulatory Protein; Vpr-mediated nuclear import of PICs; Regulation of HSF1-mediated heat shock response; snRNP Assembly; SUMOylation of DNA replication proteins; Transport of the SLBP independent Mature mRNA; SUMOylation of RNA binding proteins; Viral Messenger RNA Synthesis; SUMOylation of chromatin organization proteins; Nuclear import of Rev protein;  NS1 Mediated Effects on Host Pathways; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of the SLBP Dependant Mature mRNA; Transport of Ribonucleoproteins into the Host Nucleus; Transport of Mature mRNA derived from an Intron-Containing Transcript; SUMOylation of DNA damage response and repair proteins,69,1,22517,25655.1,26047.4,23314,26417.9,30855.8,24535.8,31896,30599.6,40020.3,21456.7,25655.1,22736.7,20260.1,16982.8,11375.5,7085.1,7940.4,5141,5936,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P18206,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,0,FALSE,563.328,64,83,178,83,1134,123.7,5.66,611.23,83,cell growth;cell organization and biogenesis;cellular component movement;regulation of biological process;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen,protein binding;structural molecule activity,Pf01044,7414,ENSG00000035403.17,10,Integrin-mediated Cell Adhesion; Primary Focal Segmental Glomerulosclerosis FSGS; Focal Adhesion; VEGFA-VEGFR2 Signaling Pathway; Regulation of Actin Cytoskeleton,VCL,Bacterial invasion of epithelial cells; Adherens junction; Shigellosis; Regulation of actin cytoskeleton; Amoebiasis; Leukocyte transendothelial migration; Focal adhesion,Signaling by BRAF and RAF fusions; MAP2K and MAPK activation; Smooth Muscle Contraction; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; Platelet degranulation ; Paradoxical activation of RAF signaling by kinase inactive BRAF; Neutrophil degranulation; Interleukin-20 family signaling,37,0,25224.9,27788.9,28366.6,28502,32218.5,41573.3,51330.7,53880.9,78445.7,73686.4,24037.1,27788.9,24761.1,24768.5,20711.8,15326.7,14822.6,13413.5,13179.4,10929.5,High,High,High,High,High,High,High,High,High,High,1,
