Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64,TotalExpt
P13639,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,EEF2,250,3971,858,95.277,6.83,1546,0.996323677,0.995738221,1.014636693,0.980531327,0.936951936,0.833855967,0.617772012,0.27463775,0.093796377,0.067540815,8
O43707,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,ACTN4,390,4176,911,104.788,5.44,750,0.996323677,1.012058194,1.040145203,1.013413463,1.011528513,0.96390303,0.855219089,0.723205464,0.207890428,0.085066835,8
Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2,ACTBL2,27,1498,376,41.976,5.59,6,0.996323677,0.945036714,0.956517296,0.909092932,0.658782351,0.378603404,0.207782308,0.159887187,0.125052942,0.111416536,4
P35579,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,MYH9,622,3125,1960,226.392,5.6,940,0.996323677,1.045568992,1.079022086,1.06129259,0.764248735,0.520942976,0.178620745,0.103230599,0.071653595,0.055677143,8
Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,DYNC1H1,892,3065,4646,532.072,6.4,1276,0.996323677,0.980271034,0.956616423,0.924427087,0.851509171,0.44184146,0.16126976,0.097316469,0.064781455,0.05245435,8
P60174,Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3,TPI1,95,2442,286,30.772,5.92,1016,0.996323677,1.004872608,1.031142574,1.006458279,1.01906929,0.958706222,0.841948497,0.663775598,0.42439853,0.177519453,8
P13929,Beta-enolase OS=Homo sapiens GN=ENO3 PE=1 SV=5,ENO3,68,2192,434,46.957,7.71,108,0.996323677,1.010011094,1.000981234,0.967181559,0.892315588,0.758196343,0.621677029,0.529148968,0.439330938,0.364946276,8
P49327,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3,FASN,529,3154,2511,273.254,6.44,1325,0.996323677,0.992785556,1.007619792,0.954051885,0.69352924,0.263203337,0.141399538,0.082424759,0.060983782,0.047152882,8
P68371,Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1,TUBB4B,151,3492,445,49.799,4.89,46,0.996323677,0.925862717,0.855860241,0.777237013,0.699253584,0.474091608,0.214260727,0.093597563,0.064923151,0.047578097,8
P62258,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1,YWHAE,131,3726,255,29.155,4.74,1034,0.996323677,1.007470381,1.008909024,0.976399094,0.941028115,0.831199768,0.687369868,0.347848807,0.158495444,0.09888641,8
Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1,TUBB2B,87,1977,445,49.921,4.89,8,0.996323677,0.923191334,0.852560477,0.801779496,0.697783327,0.511151582,0.24056368,0.08571854,0.059195199,0.047182382,5
Q13885,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,TUBB2A,142,3187,445,49.875,4.89,15,0.996323677,0.920319527,0.895318765,0.781685301,0.652324594,0.397301665,0.149397451,0.077257741,0.053229815,0.037873038,8
P14618,Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM PE=1 SV=4,PKM,311,4717,531,57.9,7.84,42,0.996323677,1.014880795,0.99707795,0.950791445,0.861201842,0.737973025,0.573758585,0.45800859,0.237713326,0.126662531,8
P49368,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4,CCT3,384,4114,545,60.495,6.49,511,0.996323677,0.997703234,1.005671124,0.975036775,0.945754216,0.7983982,0.38298121,0.134426127,0.079114114,0.05987444,8
H3BQK9,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=4 SV=1",MACF1,823,1941,7592,860.543,5.38,121,0.996323677,0.980311535,0.89598763,0.769868164,0.537252005,0.287649593,0.183971813,0.120046462,0.093170884,0.074063184,8
P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,HSPA4,274,2470,840,94.271,5.19,1020,0.996323677,1.009587207,1.02093653,0.993501527,0.923029556,0.323969269,0.151555232,0.078534438,0.057601548,0.044486566,8
Q9UPN3,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4",MACF1,2234,5283,7388,837.787,5.39,245,0.996323677,0.990492737,0.926306832,0.813138594,0.570091368,0.305212145,0.196814383,0.130542519,0.096571342,0.076080456,8
P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,PPIA,71,3156,165,18.001,7.81,448,0.996323677,1.002381672,1.029384001,0.98018689,0.798965151,0.405147939,0.190942976,0.114112131,0.081351078,0.066882107,8
P69892,Hemoglobin subunit gamma-2 OS=Homo sapiens GN=HBG2 PE=1 SV=2,HBG2,75,2909,147,16.116,7.2,103,0.996323677,1.005711194,0.99863843,0.961362682,0.911739258,0.850438425,0.739351962,0.574211876,0.397953638,0.283062079,8
P63104,14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1,YWHAZ,100,3088,245,27.728,4.79,528,0.996323677,1.012834679,1.031883002,1.0178934,1.026168025,0.9643461,0.701142552,0.243489036,0.099582917,0.064045523,8
P17987,T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1,TCP1,187,2454,556,60.306,6.11,828,0.996323677,0.998756823,1.005222133,0.966630668,0.901857682,0.744284934,0.361866107,0.128937524,0.081154124,0.059037797,8
Q13509,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2,TUBB3,114,2146,450,50.4,4.93,8,0.996323677,0.961802701,0.983352162,0.949881869,0.854374154,0.638607979,0.373545449,0.164160277,0.110273858,0.086653251,7
P07737,Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2,PFN1,69,1885,140,15.045,8.27,724,0.996323677,1.00113946,1.018622015,0.986397439,0.909133343,0.566569541,0.234487411,0.129075684,0.085000204,0.06669753,8
P69891,Hemoglobin subunit gamma-1 OS=Homo sapiens GN=HBG1 PE=1 SV=2,HBG1,75,2814,147,16.13,7.2,64,0.996323677,1.006752828,1.024376793,0.98808763,0.928947574,0.85407094,0.691491884,0.541265505,0.400586639,0.301602075,8
P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,VCP,302,2393,806,89.266,5.26,1010,0.996323677,1.008144175,1.018256926,0.984278666,0.954211268,0.88079191,0.789053724,0.671833117,0.579552538,0.367632155,8
O75369,Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB,FLNB,623,2333,2633,281.459,5.71,845,0.996323677,1.00027247,1.02431342,0.98878558,0.927259123,0.603172283,0.205339606,0.113026745,0.070773152,0.055592111,8
P49321,Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2,NASP,280,2782,788,85.186,4.3,739,0.996323677,1.018658115,1.021678928,1.007862188,1.000815897,0.85063343,0.613559222,0.404319564,0.343935029,0.311737645,8
P21333,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,FLNA,616,2417,2647,280.564,6.06,937,0.996323677,0.997258908,1.017301997,0.966506438,0.733529165,0.356576166,0.195895753,0.118449176,0.085467493,0.063629582,8
Q14315,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3,FLNC,629,2271,2725,290.841,5.97,778,0.996323677,0.972539106,0.983459169,0.937206644,0.8589677,0.668846426,0.385412142,0.139490659,0.082877241,0.058027368,8
O00299,Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4,CLIC1,94,1434,241,26.906,5.17,593,0.996323677,1.004373295,1.018068347,0.988019493,0.880687234,0.476748233,0.151278552,0.086677156,0.054148792,0.04181556,8
P09211,Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2,GSTP1,72,1777,210,23.341,5.64,766,0.996323677,1.006776155,1.028163049,1.000539312,0.886009916,0.487203877,0.149466161,0.094661363,0.060899314,0.046924401,8
Q92945,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4,KHSRP,215,2555,711,73.07,7.3,951,0.996323677,1.017139621,1.021025412,0.983553569,0.935982329,0.835701213,0.699592663,0.557164639,0.456420341,0.386653121,8
P22234,Isoform 2 of Multifunctional protein ADE2 OS=Homo sapiens GN=PAICS,PAICS,114,1573,432,47.928,7.69,294,0.996323677,0.991130518,1.010955729,0.981041423,0.935382765,0.84593645,0.725994096,0.617350335,0.509543217,0.430176102,8
P14625,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,HSP90B1,231,2538,803,92.411,4.84,758,0.996323677,0.991133661,1.007073837,0.960453917,0.783236314,0.3930592,0.19321499,0.103240732,0.070296496,0.054323158,8
P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2",HSPA9,217,2188,679,73.635,6.16,900,0.996323677,0.99867484,1.008639867,0.975334864,0.9163613,0.616556489,0.203721586,0.107230061,0.066229708,0.051305234,8
Q99832,T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2,CCT7,142,1648,543,59.329,7.65,694,0.996323677,1.002768236,1.002491138,0.971424647,0.934663019,0.779321342,0.366873775,0.114027286,0.069629368,0.046976983,8
P04350,Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2,TUBB4A,131,2724,444,49.554,4.88,13,0.996323677,0.984281113,0.786279388,0.706866673,0.538475416,0.32016163,0.135802149,0.065783357,0.066354,0.043905809,8
P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,PRKDC,687,2241,4128,468.788,7.12,929,0.996323677,1.001354671,1.007507483,0.831753004,0.288095529,0.190630763,0.109663772,0.077459812,0.057980838,0.046221157,8
P12270,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3,TPR,557,2236,2363,267.131,5.02,865,0.996323677,1.008332327,1.011302142,0.975188066,0.907779221,0.736702679,0.499828739,0.227296056,0.105291313,0.071343673,8
P11021,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,HSPA5,194,2174,654,72.288,5.16,622,0.996323677,1.013805671,1.009652755,0.964084993,0.847773118,0.481458372,0.224270244,0.117796902,0.070201772,0.052399302,8
P26038,Moesin OS=Homo sapiens GN=MSN PE=1 SV=3,MSN,253,3652,577,67.778,6.4,1124,0.996323677,1.002635165,1.028160777,1.000377158,0.960435645,0.85568042,0.389591212,0.141493001,0.089943694,0.066395641,8
P27348,14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1,YWHAQ,85,2540,245,27.747,4.78,232,0.996323677,1.01252789,1.025683789,1.005574423,0.903021783,0.488279879,0.182558212,0.092808143,0.057245052,0.045451996,8
P37802,Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3,TAGLN2,93,1915,199,22.377,8.25,704,0.996323677,0.997635046,1.01801143,0.975928694,0.917304589,0.677385194,0.360023803,0.188982292,0.126598982,0.099551366,8
Q58FF7,Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens GN=HSP90AB3P PE=5 SV=1,HSP90AB3P,106,2608,597,68.282,4.79,22,0.996323677,1.043638928,1.002377878,0.949224111,0.690147582,0.433363634,0.280198438,0.154583704,0.101803226,0.081251814,6
P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,VIM,216,2806,466,53.619,5.12,925,0.996323677,1.001840218,0.972627271,0.926707966,0.846727883,0.728991873,0.527248614,0.283994006,0.193228234,0.167362431,8
G3V5Z7,Proteasome subunit alpha type OS=Homo sapiens GN=PSMA6 PE=3 SV=1,PSMA6,91,1165,252,28.129,6.76,508,0.996323677,1.019543088,1.017879436,0.992452562,0.922844875,0.829875575,0.69011938,0.585717841,0.513893385,0.482853231,8
P68104,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,EEF1A1,85,2608,462,50.109,9.01,614,0.996323677,0.918626474,0.741593579,0.563588494,0.382404069,0.247380357,0.157152904,0.108870131,0.081551977,0.067840796,8
P34931,Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=1 SV=2,HSPA1L,66,1622,641,70.331,6.02,94,0.996323677,1.00477003,1.0045904,0.955731748,0.820947249,0.391988001,0.185361192,0.09537988,0.068800594,0.051534227,7
P50991,T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4,CCT4,173,2569,539,57.888,7.83,576,0.996323677,1.003365182,0.999935574,0.960647344,0.906898513,0.766914533,0.36635489,0.12649516,0.083126143,0.053267897,8
Q14974,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,KPNB1,186,1687,876,97.108,4.78,651,0.996323677,1.005987707,1.005731036,0.963826815,0.828931266,0.466553984,0.203176811,0.110082694,0.066223126,0.052399128,8
P16949,Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3,STMN1,79,3236,149,17.292,5.97,1137,0.996323677,0.996009445,1.020664326,0.995634324,0.987495732,0.903213368,0.79110854,0.67461942,0.625460475,0.564675544,8
P31946,14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3,YWHAB,74,2772,246,28.065,4.83,212,0.996323677,1.002598626,1.020381141,0.994909271,0.931497969,0.770956426,0.329917485,0.153865023,0.103257596,0.078996151,8
P61981,14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2,YWHAG,113,2851,247,28.285,4.89,512,0.996323677,0.997317724,1.014448601,0.998358719,1.028744964,0.925997143,0.649951193,0.320328331,0.175314577,0.093700311,8
P49588,"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2",AARS,251,1760,968,106.743,5.53,758,0.996323677,1.004723361,1.006132772,0.917176774,0.447674262,0.24202518,0.129925123,0.075840663,0.057258753,0.044470247,8
D6RF62,Phosphoribosylaminoimidazole carboxylase OS=Homo sapiens GN=PAICS PE=4 SV=1,PAICS,51,703,333,37.088,6.27,6,0.996323677,0.940189756,0.961406786,0.94946297,0.885920573,0.795388149,0.721031404,0.563530143,0.502576971,0.381225012,4
P00441,Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2,SOD1,46,1486,154,15.926,6.13,530,0.996323677,1.011264261,1.024387729,0.992079274,0.98400332,0.898044259,0.776805672,0.676704138,0.57546183,0.477795299,8
P09104,Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3,ENO2,88,1288,434,47.239,5.03,104,0.996323677,1.006380044,1.01637886,1.000191135,0.949680841,0.865966221,0.759991331,0.647166575,0.578721217,0.459212932,8
P53396,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,ACLY,297,1644,1101,120.762,7.33,677,0.996323677,0.993639502,0.994682207,0.896465012,0.544681727,0.229071115,0.127568135,0.07980546,0.061426589,0.047746022,8
P68363,Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1,TUBA1B,100,1617,451,50.12,5.06,304,0.996323677,0.894140658,0.761678205,0.640221533,0.516219176,0.306552118,0.151803137,0.084134656,0.059747932,0.046730902,7
P12814,Isoform 3 of Alpha-actinin-1 OS=Homo sapiens GN=ACTN1,ACTN1,270,1919,914,105.502,5.41,198,0.996323677,0.989998339,1.005990749,0.989145283,0.969873805,0.923565903,0.804159437,0.60704856,0.116364176,0.091081755,8
P54819,"Adenylate kinase 2, mitochondrial OS=Homo sapiens GN=AK2 PE=1 SV=2",AK2,95,1344,239,26.461,7.81,547,0.996323677,1.014070088,1.015825764,0.999781444,0.973623948,0.89725933,0.714311826,0.373853774,0.116151075,0.086806519,8
Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2,CAND1,280,1400,1230,136.289,5.78,537,0.996323677,0.989379123,1.011042294,0.984439992,0.95199142,0.888603668,0.766110586,0.507786382,0.111904328,0.073534808,8
H9KV75,Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=2 SV=1,ACTN1,34,236,822,94.766,5.69,1,0.996323677,1.079234132,1.129714033,1.196284141,1.088040038,0.886941025,0.721333494,0.599848131,0.2047633,0.14432093,1
P23526,Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4,AHCY,158,1947,432,47.685,6.34,778,0.996323677,0.987540691,1.020986124,0.989057272,0.969651369,0.892836526,0.560352546,0.211356384,0.103600992,0.066592227,8
P55786,Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2,NPEPPS,250,1431,919,103.211,5.72,555,0.996323677,1.006582031,1.016725955,0.984086135,0.959807682,0.880956021,0.732888044,0.456456946,0.149744855,0.072195995,8
Q71U36,Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1,TUBA1A,87,1434,451,50.104,5.06,294,0.996323677,0.91559247,0.780941336,0.651801468,0.522426346,0.314694251,0.158125329,0.090802383,0.06233351,0.050373188,6
P48643,T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1,CCT5,179,2339,541,59.633,5.66,723,0.996323677,1.008028626,1.019106363,0.987293496,0.925440396,0.764374323,0.356932734,0.121678742,0.076262254,0.052092747,8
P30041,Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3,PRDX6,93,1286,224,25.019,6.38,554,0.996323677,0.997975817,1.024104688,0.997512702,0.977780269,0.776086006,0.371093912,0.123370753,0.079176583,0.053930066,8
Q04917,14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4,YWHAH,101,1997,246,28.201,4.84,289,0.996323677,1.00854198,1.019260108,0.975567798,0.847265557,0.561041977,0.300361295,0.125457488,0.072006259,0.050553917,8
P61604,"10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2",HSPE1,44,2093,102,10.925,8.92,582,0.996323677,0.994722177,1.03058662,1.008122027,1.00426197,0.940664767,0.814169981,0.662032067,0.617295701,0.476313764,8
A8K7Q2,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=2 SV=1,HSPA8,73,1642,410,45.31,5.64,208,0.996323677,0.976051585,1.016705973,0.993029699,0.826798029,0.414645329,0.179743708,0.10967499,0.069607098,0.057571786,5
O00410,Isoform 3 of Importin-5 OS=Homo sapiens GN=IPO5,IPO5,189,1084,1115,125.464,4.92,443,0.996323677,0.99545024,1.000061239,0.98442159,0.960761827,0.884656781,0.672793935,0.248644539,0.091437239,0.064864412,8
P22102,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens GN=GART PE=1 SV=1,GART,229,1560,1010,107.699,6.7,611,0.996323677,0.975237895,0.910744868,0.711952888,0.403996832,0.212525367,0.113342766,0.067904129,0.049004852,0.036526644,8
P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5,EPRS,344,1735,1512,170.483,7.33,657,0.996323677,0.964775283,0.699539941,0.416173897,0.230752558,0.138170271,0.089059179,0.0650924,0.048901031,0.03478719,8
E7EVA0,Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=2 SV=1,MAP4,306,1694,2297,245.292,6.23,556,0.996323677,1.003209622,1.014299954,0.990094755,0.958783336,0.891693401,0.759447991,0.585159195,0.47145578,0.392070522,8
Q13263,Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,TRIM28,139,1495,835,88.493,5.77,592,0.996323677,0.996423886,0.963592463,0.841866916,0.606085652,0.393000242,0.234157624,0.137319015,0.089731472,0.064788567,8
Q58FF8,Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens GN=HSP90AB2P PE=1 SV=2,HSP90AB2P,62,1708,381,44.321,4.84,48,0.996323677,1.008314069,1.008778693,1.022307525,0.65119697,0.314207244,0.15934354,0.088006658,0.059886911,0.046986159,7
P46940,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,IQGAP1,367,1400,1657,189.134,6.48,567,0.996323677,1.005568713,0.997791971,0.912437196,0.473042196,0.211826832,0.111342397,0.070011882,0.052484979,0.040675126,8
P31939,Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3,ATIC,216,1414,592,64.575,6.71,564,0.996323677,0.994494566,1.01257416,0.925902523,0.653882109,0.296360091,0.134829197,0.075434936,0.054851986,0.041182225,8
Q06830,Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1,PRDX1,84,2919,199,22.096,8.13,879,0.996323677,0.995609138,1.019212478,0.995146192,0.924879691,0.694423199,0.356759409,0.149393801,0.098211484,0.072421404,8
P46109,Crk-like protein OS=Homo sapiens GN=CRKL PE=1 SV=1,CRKL,106,1360,303,33.756,6.74,587,0.996323677,0.996347422,1.017454103,0.989145793,0.939006715,0.849899093,0.681501657,0.403745074,0.141660006,0.090254681,8
