Accession,Description,GeneName,Peptides.DMSO,PSMs.DMSO,AAs.DMSO,MW.kDA.DMSO,pI.DMSO,QuantifyingPSMs.DMSO,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,CNOT1,48,144,2376,266.768,7.11,56,0.993,0.993,0.912,0.700,0.439,0.254,0.145,0.099,0.072,0.060
A6NCE7,Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1,MAP1LC3B2,2,8,125,14.619,8.68,2,0.993,0.951,1.070,1.018,0.887,0.519,0.274,0.102,0.033,0.026
A6NDB9,Paralemmin-3 OS=Homo sapiens GN=PALM3 PE=1 SV=2,PALM3,2,6,673,71.652,4.53,6,0.993,0.948,0.996,0.877,0.818,0.647,0.617,0.349,0.315,0.268
A6NDG6,Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1,PGP,17,74,321,33.985,6.14,27,0.993,0.964,0.997,0.950,0.928,0.737,0.670,0.511,0.404,0.234
A6NDU8,UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1,C5orf51,8,18,294,33.599,5.26,8,0.993,0.954,0.935,0.702,0.330,0.217,0.077,0.058,0.040,0.059
A6NED2,RCC1 domain-containing protein 1 OS=Homo sapiens GN=RCCD1 PE=1 SV=1,RCCD1,4,8,376,40.054,5.27,4,0.993,1.076,0.934,0.879,0.740,0.568,0.331,0.235,0.216,0.165
A6NEM2,HCF N-terminal chain 5 OS=Homo sapiens GN=HCFC1 PE=4 SV=2,HCFC1,46,180,2080,213.343,7.33,73,0.993,0.913,0.852,0.736,0.579,0.369,0.235,0.128,0.099,0.075
A6NFI3,Zinc finger protein 316 OS=Homo sapiens GN=ZNF316 PE=1 SV=1,ZNF316,3,6,1004,108.37,5.31,3,0.993,0.886,0.843,0.568,0.334,0.134,0.098,0.077,0.075,0.070
A6NFV8,Dysbindin OS=Homo sapiens GN=DTNBP1 PE=2 SV=2,DTNBP1,4,10,352,39.611,4.67,4,0.993,0.945,0.980,0.888,0.731,0.524,0.347,0.214,0.122,0.050
A6NFX8,ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=2 SV=1,NUDT5,18,140,232,25.879,5.19,63,0.993,0.988,0.978,0.955,0.931,0.712,0.721,0.673,0.546,0.475
A6NHB5,Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3 PE=4 SV=1,ZMYM3,5,10,1372,152.508,6.35,5,0.993,0.971,0.842,0.616,0.522,0.430,0.328,0.258,0.202,0.169
A6NHL2,Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2,TUBAL3,3,12,446,49.877,6.05,5,0.993,0.966,0.887,0.800,0.705,0.575,0.398,0.277,0.095,0.071
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2,SMCHD1,21,40,2005,226.231,7.3,18,0.993,0.955,0.819,0.426,0.295,0.202,0.124,0.093,0.057,0.058
A6NHX0,GATS-like protein 2 OS=Homo sapiens GN=GATSL2 PE=2 SV=3,GATSL2,5,10,329,36.034,5.16,5,0.993,0.896,0.945,0.894,0.785,0.587,0.516,0.403,0.303,0.192
A6NIH7,Protein unc-119 homolog B OS=Homo sapiens GN=UNC119B PE=1 SV=1,UNC119B,2,4,251,28.119,5.68,2,0.993,0.965,0.930,0.679,0.439,0.300,0.277,0.206,0.180,0.111
A6NIW2,Dedicator of cytokinesis protein 11 OS=Homo sapiens GN=DOCK11 PE=2 SV=2,DOCK11,5,10,2077,237.946,7.78,5,0.993,0.929,0.876,0.764,0.408,0.232,0.162,0.125,0.097,0.056
A6NKD9,Coiled-coil domain-containing protein 85C OS=Homo sapiens GN=CCDC85C PE=1 SV=1,CCDC85C,2,4,419,45.182,6.96,2,0.993,0.955,0.909,0.558,0.343,0.061,0.060,0.049,0.088,0.094
A6NMQ1,DNA polymerase OS=Homo sapiens GN=POLA1 PE=2 SV=1,POLA1,19,40,1468,166.351,5.81,18,0.993,0.974,0.875,0.640,0.366,0.202,0.113,0.086,0.060,0.061
A7E2Y1,Myosin-7B OS=Homo sapiens GN=MYH7B PE=2 SV=3,MYH7B,1,1,1941,221.251,6.01,1,0.993,1.054,0.837,0.757,0.569,0.440,0.220,0.205,0.155,0.156
A8K7Q2,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=2 SV=1,HSPA8,29,789,410,45.31,5.64,3,0.993,0.862,0.885,0.704,0.546,0.342,0.304,0.165,0.057,0.049
A8MPS7,UPF0249 protein ydjC homolog OS=Homo sapiens GN=YDJC PE=1 SV=1,YDJC,5,10,323,34.444,6.39,3,0.993,0.996,0.934,0.870,0.688,0.477,0.326,0.187,0.183,0.137
A8MU27,Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=2 SV=1,SUMO3,4,76,147,16.946,9.67,12,0.993,0.917,0.827,0.666,0.642,0.526,0.577,0.519,0.431,0.389
A8MUM1,Protein TSSC1 OS=Homo sapiens GN=TSSC1 PE=4 SV=2,TSSC1,4,10,414,46.29,5.07,4,0.993,1.006,0.876,0.795,0.655,0.522,0.312,0.159,0.119,0.099
A8MUS3,60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=2 SV=1,RPL23A,10,126,194,21.902,10.48,47,0.993,0.996,1.014,1.111,0.954,0.630,0.356,0.169,0.091,0.062
A8MVX0,Isoform 2 of Rho guanine nucleotide exchange factor 33 OS=Homo sapiens GN=ARHGEF33,ARHGEF33,1,3,870,97.463,6.81,1,0.993,1.085,0.923,0.934,0.601,0.490,0.256,0.274,0.178,0.175
A8MWD9,Small nuclear ribonucleoprotein G-like protein OS=Homo sapiens PE=3 SV=2,-,2,10,76,8.538,8.84,4,0.993,1.057,0.987,0.935,0.795,0.568,0.357,0.187,0.135,0.110
A8MXP9,Matrin-3 OS=Homo sapiens GN=MATR3 PE=2 SV=1,MATR3,18,73,895,99.905,6.04,28,0.993,0.938,0.650,0.432,0.334,0.258,0.138,0.126,0.073,0.074
A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1",NUDT19,4,16,375,42.207,7.64,5,0.993,1.055,0.912,0.918,0.825,0.659,0.371,0.243,0.153,0.131
A8MYK1,"39S ribosomal protein L23, mitochondrial OS=Homo sapiens GN=MRPL23 PE=2 SV=1",MRPL23,1,3,191,21.829,11.62,2,0.993,0.988,0.839,0.822,0.566,0.354,0.152,0.092,0.052,0.048
B0QY89,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3EIP PE=4 SV=1,EIF3EIP,34,179,607,70.857,6.65,67,0.993,0.976,0.934,0.782,0.671,0.372,0.154,0.088,0.059,0.060
B0QYL9,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 OS=Homo sapiens GN=POLR2F PE=4 SV=1",POLR2F,2,5,158,17.563,4.44,3,0.993,0.960,0.950,0.817,0.634,0.450,0.406,0.325,0.237,0.197
B0QYN7,SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=3 SV=1,UBE2I,8,65,184,20.444,8.46,30,0.993,0.935,0.970,0.815,0.657,0.343,0.142,0.071,0.046,0.045
B0QZ18,Copine-1 OS=Homo sapiens GN=CPNE1 PE=2 SV=1,CPNE1,11,33,542,59.68,6.04,11,0.993,0.961,0.936,0.834,0.671,0.370,0.158,0.085,0.071,0.050
B1AHD1,NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=2 SV=1,NHP2L1,5,14,132,14.618,8.46,6,0.993,0.939,0.905,0.860,0.762,0.560,0.482,0.338,0.205,0.170
B1AKJ5,Nardilysin OS=Homo sapiens GN=NRD1 PE=2 SV=1,NRD1,36,150,1219,139.325,5,59,0.993,0.935,0.900,0.713,0.438,0.237,0.117,0.066,0.060,0.057
B3KS98,Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3S3 PE=2 SV=1,EIF3S3,17,98,366,41.555,7.33,41,0.993,0.959,0.899,0.634,0.382,0.192,0.117,0.057,0.040,0.044
B3KSH1,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=2 SV=1,EIF3F,12,40,372,39.122,5.45,16,0.993,0.967,0.886,0.620,0.370,0.225,0.139,0.082,0.078,0.061
B3KTM8,Mortality factor 4-like protein 1 OS=Homo sapiens GN=MORF4L1 PE=2 SV=1,MORF4L1,16,59,348,40.004,9.11,22,0.993,1.021,0.924,0.712,0.443,0.263,0.157,0.113,0.070,0.068
B3KXW5,AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=2 SV=1,AP1G1,13,43,845,94.08,7.05,11,0.993,0.955,0.888,0.660,0.361,0.187,0.123,0.086,0.058,0.054
B4DJL6,cDNA FLJ55475 OS=Homo sapiens GN=VWA9 PE=2 SV=1,VWA9,6,13,554,61.306,5.15,6,0.993,0.953,0.924,0.689,0.450,0.212,0.148,0.084,0.067,0.038
B4DLN1,Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=2 SV=1,SLC25A10,2,35,442,48.069,9.52,9,0.993,0.954,0.997,0.986,0.895,0.607,0.488,0.367,0.298,0.241
B4DNW0,Aminoacylase-1 OS=Homo sapiens GN=ACY1 PE=2 SV=1,ACY1,12,52,498,55.959,7.03,22,0.993,0.976,0.932,0.874,0.785,0.603,0.533,0.448,0.400,0.302
B4DR52,Histone H2B OS=Homo sapiens GN=HIST2H2BF PE=2 SV=1,HIST2H2BF,8,85,166,18.03,10.32,30,0.993,0.944,0.855,0.659,0.477,0.267,0.162,0.085,0.051,0.043
B4DSS8,Polypyrimidine tract-binding protein 2 OS=Homo sapiens GN=PTBP2 PE=2 SV=1,PTBP2,4,20,548,59.583,9.23,2,0.993,0.956,0.992,0.721,0.385,0.187,0.169,0.092,0.044,0.053
B4DUT8,Calponin-2 OS=Homo sapiens GN=CNN2 PE=2 SV=1,CNN2,14,55,330,35.92,7.3,28,0.993,0.971,0.939,0.625,0.327,0.143,0.093,0.054,0.040,0.041
B4DX42,Splicing factor 1 OS=Homo sapiens GN=SF1 PE=2 SV=1,SF1,16,122,433,46.391,9.35,2,0.993,0.889,0.882,0.734,0.668,0.521,0.444,0.332,0.219,0.186
B4DZH6,Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=2 SV=1,HDAC6,12,47,1229,132.696,5.36,13,0.993,0.970,0.944,0.766,0.606,0.341,0.160,0.063,0.046,0.051
B4E0Y9,Serine/threonine-protein kinase MST4 OS=Homo sapiens GN=MST4 PE=2 SV=1,MST4,18,57,438,49.153,5.68,12,0.993,0.969,0.850,0.725,0.427,0.258,0.156,0.115,0.087,0.094
B5MBW9,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial OS=Homo sapiens GN=CHCHD10 PE=2 SV=1",CHCHD10,2,4,149,14.922,7.84,2,0.993,0.773,0.906,0.747,0.881,0.432,0.520,0.451,0.263,0.202
B5MBX0,Sororin OS=Homo sapiens GN=CDCA5 PE=4 SV=1,CDCA5,1,2,307,33.713,9.64,1,0.993,1.049,0.926,0.739,0.576,0.525,0.345,0.273,0.258,0.188
B5MC82,D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=4 SV=2,DDT,3,14,166,17.707,8.69,4,0.993,0.968,0.937,0.986,0.900,0.705,0.712,0.629,0.435,0.379
B5MCX3,Septin-2 OS=Homo sapiens GN=SEPT2 PE=3 SV=1,SEPT2,12,93,321,36.917,6.18,36,0.993,0.982,0.951,0.889,0.876,0.658,0.593,0.375,0.294,0.165
B5MDF5,GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=4 SV=1,RAN,14,339,233,26.207,7.01,137,0.993,0.976,0.948,0.897,0.852,0.674,0.619,0.447,0.223,0.066
B5MDU6,UPF0554 protein C2orf43 OS=Homo sapiens GN=C2orf43 PE=4 SV=1,C2orf43,1,2,370,42.641,6.93,1,0.993,1.117,0.902,0.867,0.610,0.433,0.163,0.133,0.140,0.111
B7WPE2,"Echinoderm microtubule associated protein like 3, isoform CRA_e OS=Homo sapiens GN=EML3 PE=4 SV=1",EML3,5,12,897,95.225,7.12,6,0.993,1.027,0.854,0.686,0.491,0.340,0.187,0.134,0.086,0.082
B7Z2A4,Receptor-type tyrosine-protein phosphatase alpha OS=Homo sapiens GN=PTPRA PE=2 SV=1,PTPRA,3,5,813,91.863,6.55,3,0.993,1.002,0.917,0.853,0.586,0.392,0.220,0.176,0.147,0.120
B7Z4C8,60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=2 SV=1,RPL31,8,58,130,15.109,10.37,16,0.993,1.010,1.051,1.102,0.955,0.631,0.366,0.171,0.117,0.090
B7Z4W5,"Cysteine conjugate-beta lyase cytoplasmic (Glutamine transaminase K, kyneurenine aminotransferase), isoform CRA_b OS=Homo sapiens GN=CCBL1 PE=2 SV=1",CCBL1,8,28,516,57.631,7.43,8,0.993,0.952,0.996,0.998,0.931,0.655,0.583,0.305,0.211,0.092
B7Z5W1,Junctional adhesion molecule A OS=Homo sapiens GN=F11R PE=2 SV=1,F11R,1,2,303,32.838,8.85,1,0.993,1.225,0.919,0.885,0.741,0.800,0.681,0.728,0.641,0.421
B7Z9C2,Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=2 SV=1,NAP1L1,14,156,349,40.487,4.58,7,0.993,1.029,1.002,0.853,0.641,0.395,0.166,0.074,0.041,0.048
B7ZC38,Endophilin-B2 OS=Homo sapiens GN=SH3GLB2 PE=2 SV=1,SH3GLB2,3,6,400,44.334,5.82,2,0.993,0.987,0.900,0.708,0.419,0.284,0.174,0.108,0.090,0.087
B7ZKJ8,35 kDa inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4 PE=2 SV=1,ITIH4,2,4,935,103.816,6.89,2,0.993,0.878,0.964,0.971,0.806,0.474,0.515,0.347,0.267,0.346
B8ZZC8,Methyltransferase-like protein 5 OS=Homo sapiens GN=METTL5 PE=4 SV=1,METTL5,3,11,244,27.755,8.22,5,0.993,0.939,0.962,0.899,0.814,0.692,0.745,0.576,0.538,0.429
B8ZZD4,Tax1-binding protein 1 OS=Homo sapiens GN=TAX1BP1 PE=4 SV=1,TAX1BP1,4,8,813,93.551,5.44,3,0.993,0.950,0.972,0.808,0.592,0.367,0.207,0.144,0.123,0.079
B8ZZN6,Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=2 SV=1,SUMO1,4,22,146,16.634,6.2,6,0.993,0.930,0.788,0.554,0.457,0.304,0.237,0.184,0.165,0.132
B8ZZS0,BET1-like protein OS=Homo sapiens GN=BET1L PE=2 SV=1,BET1L,2,4,152,17.096,8.88,2,0.993,1.064,1.006,0.926,0.757,0.688,0.530,0.537,0.423,0.267
C9J6P4,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=4 SV=1,ZC3HAV1,13,30,1024,114.013,8.56,12,0.993,0.971,0.880,0.611,0.343,0.243,0.131,0.082,0.070,0.067
C9J7E5,Transportin-3 OS=Homo sapiens GN=TNPO3 PE=4 SV=1,TNPO3,13,60,957,107.978,5.71,24,0.993,0.957,0.956,0.805,0.567,0.318,0.173,0.106,0.072,0.070
C9J8T6,Cytochrome c oxidase copper chaperone OS=Homo sapiens GN=COX17 PE=4 SV=1,COX17,4,19,98,10.846,7.77,13,0.993,0.968,0.979,0.984,0.976,0.708,0.787,0.661,0.576,0.513
C9JA08,60S ribosomal export protein NMD3 OS=Homo sapiens GN=NMD3 PE=4 SV=1,NMD3,22,91,529,60.087,6.62,28,0.993,0.952,0.933,0.788,0.630,0.395,0.235,0.112,0.062,0.058
C9JCC6,Dr1-associated corepressor OS=Homo sapiens GN=DRAP1 PE=2 SV=1,DRAP1,5,34,212,23.19,5.27,13,0.993,1.008,0.965,0.905,0.796,0.598,0.461,0.321,0.210,0.160
C9JEH3,Angio-associated migratory cell protein OS=Homo sapiens GN=AAMP PE=2 SV=1,AAMP,17,80,435,46.792,4.42,36,0.993,0.941,0.901,0.761,0.597,0.428,0.331,0.220,0.120,0.076
C9JEJ2,Choline-phosphate cytidylyltransferase A OS=Homo sapiens GN=PCYT1A PE=4 SV=1,PCYT1A,6,12,380,43.237,8.5,3,0.993,1.011,0.954,0.849,0.749,0.490,0.201,0.151,0.105,0.082
C9JIF9,Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=4 SV=1,APEH,24,119,737,81.622,5.54,40,0.993,0.992,0.972,0.899,0.819,0.665,0.614,0.508,0.390,0.274
C9JJ19,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens GN=MRPS34 PE=2 SV=2",MRPS34,4,13,225,26.316,9.89,4,0.993,0.957,0.897,0.706,0.482,0.272,0.150,0.110,0.089,0.068
D4PHA4,"GC-rich promoter binding protein 1, isoform CRA_c OS=Homo sapiens GN=GPBP1 PE=4 SV=1",GPBP1,2,4,493,55.492,7.47,2,0.993,0.963,0.931,0.885,0.705,0.549,0.436,0.294,0.299,0.211
D6REX3,Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=2 SV=1,SEC31A,28,113,1251,136.141,6.98,33,0.993,0.940,0.862,0.642,0.394,0.220,0.119,0.071,0.057,0.055
D6RF23,Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=4 SV=1,GNB2L1,9,33,101,11.24,4.88,2,0.993,0.940,0.968,0.843,0.684,0.498,0.293,0.124,0.063,0.073
D6RFG8,Deoxycytidine kinase OS=Homo sapiens GN=DCK PE=2 SV=1,DCK,13,58,317,36.741,5.43,20,0.993,0.990,0.987,0.930,0.839,0.588,0.449,0.252,0.120,0.066
D6RJ07,Zinc finger protein 346 OS=Homo sapiens GN=ZNF346 PE=2 SV=1,ZNF346,4,8,310,34.623,9.22,4,0.993,0.974,0.957,0.767,0.578,0.396,0.233,0.102,0.084,0.054
D6W592,Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRPLL PE=4 SV=1,HNRPLL,17,55,542,60.061,7.85,16,0.993,0.961,0.840,0.565,0.322,0.248,0.150,0.113,0.083,0.065
E5KLJ5,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=3 SV=1",OPA1,2,4,1015,117.67,7.77,2,0.993,0.930,0.960,0.999,1.021,0.799,0.499,0.416,0.293,0.201
E5RIM7,Copper transport protein ATOX1 OS=Homo sapiens GN=ATOX1 PE=2 SV=1,ATOX1,6,32,73,7.869,7.24,13,0.993,1.053,0.980,0.939,0.845,0.734,0.544,0.581,0.482,0.351
E5RJD8,Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=4 SV=1,TBCA,12,120,119,14.297,5.12,52,0.993,1.003,0.949,0.934,0.845,0.640,0.629,0.543,0.431,0.357
E5RJF8,Centrin-3 OS=Homo sapiens GN=CETN3 PE=4 SV=1,CETN3,6,14,191,22.409,4.82,6,0.993,0.990,0.778,0.639,0.518,0.396,0.238,0.165,0.147,0.137
E5RJR5,S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=2 SV=1,SKP1,13,150,163,18.708,4.7,51,0.993,1.000,0.993,0.966,0.884,0.686,0.599,0.435,0.276,0.188
E7EMK3,Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=2 SV=1,FLOT2,6,11,483,53.104,5.24,5,0.993,1.096,0.989,0.980,0.776,0.628,0.488,0.392,0.242,0.144
E7EN19,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=4 SV=1,MAP4K4,6,15,1272,144.828,7.49,1,0.993,0.923,0.930,0.818,0.651,0.306,0.148,0.087,0.096,0.054
E7EP72,UPF0449 protein C19orf25 OS=Homo sapiens GN=C19orf25 PE=2 SV=1,C19orf25,4,10,158,17.045,6.01,3,0.993,1.016,0.830,0.846,0.847,0.759,0.630,0.520,0.373,0.372
E7EPT4,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens GN=NDUFV2 PE=4 SV=1",NDUFV2,10,27,252,27.889,8,12,0.993,0.984,0.971,1.041,1.222,0.912,0.652,0.360,0.201,0.125
E7EQ64,Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=3 SV=1,PRSS1,6,69,261,28.105,7.25,16,0.993,0.964,0.985,0.950,0.874,0.634,0.727,0.608,0.626,0.587
E7EQR8,Protein YIPF3 OS=Homo sapiens GN=YIPF3 PE=4 SV=1,YIPF3,3,12,356,38.864,5.6,6,0.993,1.063,0.943,0.889,0.763,0.671,0.480,0.417,0.257,0.137
E7EQY1,Protein FAM136A OS=Homo sapiens GN=FAM136A PE=2 SV=1,FAM136A,11,69,245,26.758,8.24,31,0.993,0.972,1.005,0.964,0.925,0.701,0.604,0.425,0.272,0.220
E7EQZ4,Survival motor neuron protein OS=Homo sapiens GN=SMN1 PE=4 SV=1,SMN1,2,4,294,31.669,5.71,2,0.993,0.971,0.871,0.487,0.254,0.091,0.045,0.024,0.022,0.030
E7ERK9,Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4 PE=4 SV=1,EIF2B4,17,46,544,59.677,9.42,4,0.993,1.029,0.904,0.852,0.623,0.358,0.143,0.100,0.075,0.051
E7ERS3,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens GN=ZC3H18 PE=4 SV=1,ZC3H18,22,65,977,108.875,8.44,24,0.993,1.006,0.934,0.768,0.638,0.469,0.416,0.402,0.337,0.290
E7ESA6,Focal adhesion kinase 1 OS=Homo sapiens GN=PTK2 PE=4 SV=1,PTK2,7,15,1096,124.003,6.62,6,0.993,1.017,1.004,0.850,0.749,0.571,0.312,0.194,0.112,0.095
E7ESC7,Macrophage erythroblast attacher OS=Homo sapiens GN=MAEA PE=2 SV=1,MAEA,12,23,434,49.361,8.98,6,0.993,0.981,0.957,0.889,0.646,0.396,0.216,0.161,0.080,0.078
E7ETA6,Methyl-CpG-binding domain protein 1 OS=Homo sapiens GN=PCM1 PE=2 SV=1,PCM1,28,75,2016,227.591,5.03,32,0.993,0.984,0.911,0.777,0.566,0.377,0.233,0.178,0.129,0.095
E7ETU7,"39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=3 SV=1",MRPL3,2,3,375,41.602,9.58,1,0.993,1.051,0.858,0.535,0.355,0.238,0.121,0.129,0.101,0.081
E7EUC7,UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=4 SV=1,UGP2,12,65,517,57.769,8.13,2,0.993,1.095,0.933,0.946,0.831,0.684,0.456,0.237,0.114,0.076
E7EVA0,Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=2 SV=1,MAP4,82,585,2297,245.292,6.23,11,0.993,1.027,0.954,0.903,0.787,0.640,0.504,0.379,0.283,0.225
E7EVC7,Autophagy-related protein 16-1 OS=Homo sapiens GN=ATG16L1 PE=4 SV=1,ATG16L1,8,24,624,69.968,6.62,9,0.993,0.982,0.988,0.878,0.803,0.560,0.428,0.195,0.161,0.108
E7EW20,Unconventional myosin-VI OS=Homo sapiens GN=MYO6 PE=2 SV=1,MYO6,44,133,1286,148.742,8.56,56,0.993,0.974,0.978,0.912,0.748,0.419,0.177,0.112,0.079,0.068
E7EWR4,Cleavage stimulation factor subunit 2 OS=Homo sapiens GN=CSTF2 PE=2 SV=1,CSTF2,15,69,597,62.903,6.87,8,0.993,1.000,0.926,0.823,0.805,0.577,0.397,0.285,0.189,0.156
