Accession,Description,GeneName,Peptides.MTX,PSMs.MTX,AAs.MTX,MW.kDA.MTX,pI.MTX,QuantifyingPSMs.MTX,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
A6NDG6,Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1,PGP,15,68,321,33.985,6.14,24,0.996,0.929,1.026,0.988,0.943,0.773,0.738,0.599,0.453,0.231
A6NDU8,UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1,C5orf51,7,20,294,33.599,5.26,9,0.996,1.029,0.958,0.827,0.480,0.316,0.157,0.097,0.097,0.107
A6NED2,RCC1 domain-containing protein 1 OS=Homo sapiens GN=RCCD1 PE=1 SV=1,RCCD1,1,2,376,40.054,5.27,1,0.996,1.021,0.899,0.846,0.756,0.679,0.345,0.210,0.148,0.128
A6NEM2,HCF N-terminal chain 5 OS=Homo sapiens GN=HCFC1 PE=4 SV=2,HCFC1,52,228,2080,213.343,7.33,89,0.996,0.943,0.910,0.804,0.695,0.447,0.305,0.141,0.103,0.084
A6NFI3,Zinc finger protein 316 OS=Homo sapiens GN=ZNF316 PE=1 SV=1,ZNF316,3,6,1004,108.37,5.31,3,0.996,0.973,0.815,0.652,0.465,0.276,0.148,0.116,0.120,0.116
A6NFV8,Dysbindin OS=Homo sapiens GN=DTNBP1 PE=2 SV=2,DTNBP1,6,16,352,39.611,4.67,6,0.996,1.067,0.919,0.832,0.730,0.614,0.394,0.201,0.113,0.081
A6NFX8,ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=2 SV=1,NUDT5,17,152,232,25.879,5.19,67,0.996,0.958,0.977,0.963,0.961,0.787,0.788,0.710,0.589,0.559
A6NHB5,Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3 PE=4 SV=1,ZMYM3,8,24,1372,152.508,6.35,5,0.996,0.993,0.742,0.518,0.299,0.280,0.155,0.124,0.092,0.098
A6NHL2,Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2,TUBAL3,5,31,446,49.877,6.05,6,0.996,0.987,1.099,0.861,0.834,0.656,0.534,0.301,0.155,0.104
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2,SMCHD1,37,86,2005,226.231,7.3,33,0.996,0.944,0.777,0.414,0.324,0.213,0.142,0.105,0.070,0.063
A6NHX0,GATS-like protein 2 OS=Homo sapiens GN=GATSL2 PE=2 SV=3,GATSL2,3,7,329,36.034,5.16,2,0.996,0.944,0.980,0.940,0.859,0.611,0.613,0.553,0.359,0.225
A6NIH7,Protein unc-119 homolog B OS=Homo sapiens GN=UNC119B PE=1 SV=1,UNC119B,7,16,251,28.119,5.68,6,0.996,0.977,0.849,0.745,0.508,0.331,0.217,0.149,0.107,0.089
A6NIW2,Dedicator of cytokinesis protein 11 OS=Homo sapiens GN=DOCK11 PE=2 SV=2,DOCK11,12,23,2077,237.946,7.78,10,0.996,1.047,0.962,0.891,0.623,0.352,0.210,0.136,0.092,0.100
A6NKD9,Coiled-coil domain-containing protein 85C OS=Homo sapiens GN=CCDC85C PE=1 SV=1,CCDC85C,3,6,419,45.182,6.96,3,0.996,1.071,1.184,0.897,0.625,0.592,0.244,0.216,0.118,0.172
A6NMQ1,DNA polymerase OS=Homo sapiens GN=POLA1 PE=2 SV=1,POLA1,17,38,1468,166.351,5.81,18,0.996,0.974,0.943,0.777,0.466,0.293,0.180,0.118,0.115,0.098
A7E2Y1,Myosin-7B OS=Homo sapiens GN=MYH7B PE=2 SV=3,MYH7B,1,2,1941,221.251,6.01,1,0.996,1.388,0.958,0.871,0.728,0.725,0.398,0.343,0.195,0.155
A8K7Q2,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=2 SV=1,HSPA8,26,498,410,45.31,5.64,3,0.996,0.874,0.799,0.712,0.617,0.368,0.271,0.122,0.052,0.069
A8MPS7,UPF0249 protein ydjC homolog OS=Homo sapiens GN=YDJC PE=1 SV=1,YDJC,4,10,323,34.444,6.39,4,0.996,1.004,0.926,0.878,0.788,0.604,0.402,0.274,0.228,0.221
A8MU27,Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=2 SV=1,SUMO3,4,50,147,16.946,9.67,11,0.996,0.943,0.879,0.728,0.537,0.451,0.605,0.560,0.496,0.474
A8MUM1,Protein TSSC1 OS=Homo sapiens GN=TSSC1 PE=4 SV=2,TSSC1,7,14,414,46.29,5.07,7,0.996,1.012,0.929,0.864,0.611,0.490,0.286,0.130,0.106,0.078
A8MUS3,60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=2 SV=1,RPL23A,10,148,194,21.902,10.48,56,0.996,1.054,1.162,1.283,1.189,0.900,0.666,0.354,0.128,0.086
A8MVX0,Isoform 2 of Rho guanine nucleotide exchange factor 33 OS=Homo sapiens GN=ARHGEF33,ARHGEF33,1,1,870,97.463,6.81,1,0.996,1.066,1.001,0.875,0.598,0.435,0.303,0.211,0.115,0.113
A8MWD9,Small nuclear ribonucleoprotein G-like protein OS=Homo sapiens PE=3 SV=2,-,2,10,76,8.538,8.84,4,0.996,1.071,1.049,0.944,0.849,0.698,0.488,0.313,0.200,0.171
A8MXP9,Matrin-3 OS=Homo sapiens GN=MATR3 PE=2 SV=1,MATR3,29,149,895,99.905,6.04,56,0.996,0.975,0.631,0.389,0.330,0.252,0.180,0.125,0.108,0.100
A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1",NUDT19,4,10,375,42.207,7.64,2,0.996,0.964,0.943,0.904,0.758,0.617,0.313,0.143,0.124,0.081
A8MYK1,"39S ribosomal protein L23, mitochondrial OS=Homo sapiens GN=MRPL23 PE=2 SV=1",MRPL23,2,4,191,21.829,11.62,2,0.996,0.807,0.994,0.883,0.816,0.449,0.370,0.224,0.212,0.165
B0QY89,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3EIP PE=4 SV=1,EIF3EIP,31,174,607,70.857,6.65,69,0.996,0.957,0.969,0.882,0.744,0.447,0.211,0.104,0.085,0.076
B0QYL9,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 OS=Homo sapiens GN=POLR2F PE=4 SV=1",POLR2F,2,8,158,17.563,4.44,3,0.996,0.906,0.875,0.803,0.630,0.475,0.466,0.406,0.298,0.295
B0QYN7,SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=3 SV=1,UBE2I,9,65,184,20.444,8.46,28,0.996,0.919,0.930,0.863,0.776,0.479,0.199,0.099,0.075,0.060
B0QZ18,Copine-1 OS=Homo sapiens GN=CPNE1 PE=2 SV=1,CPNE1,16,62,542,59.68,6.04,22,0.996,0.953,0.958,0.874,0.708,0.421,0.170,0.081,0.068,0.049
B1AHD1,NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=2 SV=1,NHP2L1,5,14,132,14.618,8.46,6,0.996,0.993,0.996,0.900,0.777,0.660,0.578,0.448,0.276,0.246
B1AKJ5,Nardilysin OS=Homo sapiens GN=NRD1 PE=2 SV=1,NRD1,39,162,1219,139.325,5,62,0.996,0.963,0.969,0.880,0.584,0.293,0.153,0.095,0.087,0.072
B3KS98,Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3S3 PE=2 SV=1,EIF3S3,16,88,366,41.555,7.33,36,0.996,0.956,0.931,0.726,0.423,0.251,0.124,0.072,0.060,0.064
B3KSH1,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=2 SV=1,EIF3F,12,45,372,39.122,5.45,23,0.996,0.946,0.945,0.731,0.446,0.279,0.151,0.084,0.071,0.055
B3KTM8,Mortality factor 4-like protein 1 OS=Homo sapiens GN=MORF4L1 PE=2 SV=1,MORF4L1,14,43,348,40.004,9.11,14,0.996,0.988,0.912,0.681,0.501,0.313,0.193,0.083,0.053,0.066
B3KXW5,AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=2 SV=1,AP1G1,19,52,845,94.08,7.05,23,0.996,0.956,1.019,0.839,0.563,0.315,0.199,0.122,0.080,0.088
B4DJL6,cDNA FLJ55475 OS=Homo sapiens GN=VWA9 PE=2 SV=1,VWA9,5,10,554,61.306,5.15,4,0.996,0.995,0.911,0.734,0.584,0.358,0.246,0.140,0.122,0.105
B4DLN1,Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=2 SV=1,SLC25A10,2,28,442,48.069,9.52,10,0.996,0.988,0.981,1.024,0.882,0.563,0.576,0.459,0.348,0.344
B4DNW0,Aminoacylase-1 OS=Homo sapiens GN=ACY1 PE=2 SV=1,ACY1,21,124,498,55.959,7.03,34,0.996,1.024,0.992,0.962,0.884,0.736,0.627,0.541,0.441,0.397
B4DR52,Histone H2B OS=Homo sapiens GN=HIST2H2BF PE=2 SV=1,HIST2H2BF,8,62,166,18.03,10.32,16,0.996,0.930,0.853,0.624,0.397,0.238,0.185,0.069,0.079,0.056
B4DSS8,Polypyrimidine tract-binding protein 2 OS=Homo sapiens GN=PTBP2 PE=2 SV=1,PTBP2,4,23,548,59.583,9.23,2,0.996,0.989,1.027,0.719,0.340,0.228,0.174,0.108,0.094,0.096
B4DUT8,Calponin-2 OS=Homo sapiens GN=CNN2 PE=2 SV=1,CNN2,18,81,330,35.92,7.3,33,0.996,0.988,0.972,0.779,0.444,0.231,0.148,0.092,0.078,0.073
B4DX42,Splicing factor 1 OS=Homo sapiens GN=SF1 PE=2 SV=1,SF1,8,40,433,46.391,9.35,2,0.996,0.793,0.946,0.767,0.823,0.538,0.570,0.393,0.292,0.260
B4DZH6,Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=2 SV=1,HDAC6,14,41,1229,132.696,5.36,11,0.996,1.000,1.003,0.850,0.685,0.486,0.271,0.099,0.048,0.051
B4E0Y9,Serine/threonine-protein kinase MST4 OS=Homo sapiens GN=MST4 PE=2 SV=1,MST4,19,73,438,49.153,5.68,11,0.996,0.959,0.873,0.712,0.467,0.245,0.164,0.093,0.108,0.094
B5MBW9,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial OS=Homo sapiens GN=CHCHD10 PE=2 SV=1",CHCHD10,1,2,149,14.922,7.84,2,0.996,0.830,0.988,0.864,0.814,0.560,0.549,0.376,0.274,0.146
B5MBX0,Sororin OS=Homo sapiens GN=CDCA5 PE=4 SV=1,CDCA5,3,8,307,33.713,9.64,3,0.996,0.995,0.900,0.754,0.559,0.476,0.313,0.222,0.198,0.170
B5MC82,D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=4 SV=2,DDT,6,45,166,17.707,8.69,20,0.996,0.958,1.028,0.960,0.896,0.725,0.707,0.574,0.480,0.472
B5MCX3,Septin-2 OS=Homo sapiens GN=SEPT2 PE=3 SV=1,SEPT2,23,180,321,36.917,6.18,66,0.996,1.045,0.988,0.950,0.873,0.787,0.606,0.452,0.342,0.233
B5MDF5,GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=4 SV=1,RAN,14,221,233,26.207,7.01,90,0.996,0.965,0.988,0.913,0.855,0.716,0.662,0.470,0.244,0.093
B5MDU6,UPF0554 protein C2orf43 OS=Homo sapiens GN=C2orf43 PE=4 SV=1,C2orf43,1,3,370,42.641,6.93,1,0.996,1.305,0.829,0.949,0.863,1.019,0.366,0.286,0.212,0.183
B7WPE2,"Echinoderm microtubule associated protein like 3, isoform CRA_e OS=Homo sapiens GN=EML3 PE=4 SV=1",EML3,16,43,897,95.225,7.12,18,0.996,1.025,0.919,0.828,0.607,0.368,0.178,0.108,0.097,0.082
B7Z2A4,Receptor-type tyrosine-protein phosphatase alpha OS=Homo sapiens GN=PTPRA PE=2 SV=1,PTPRA,3,6,813,91.863,6.55,3,0.996,1.031,0.916,0.900,0.649,0.418,0.223,0.167,0.142,0.122
B7Z4C8,60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=2 SV=1,RPL31,4,36,130,15.109,10.37,12,0.996,1.019,1.102,1.169,1.030,0.822,0.618,0.394,0.155,0.122
B7Z4W5,"Cysteine conjugate-beta lyase cytoplasmic (Glutamine transaminase K, kyneurenine aminotransferase), isoform CRA_b OS=Homo sapiens GN=CCBL1 PE=2 SV=1",CCBL1,7,24,516,57.631,7.43,4,0.996,0.917,0.892,0.862,0.871,0.625,0.597,0.441,0.255,0.131
B7Z5W1,Junctional adhesion molecule A OS=Homo sapiens GN=F11R PE=2 SV=1,F11R,2,4,303,32.838,8.85,2,0.996,0.955,1.028,0.958,0.916,0.728,0.857,0.965,0.856,0.651
B7Z9C2,Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=2 SV=1,NAP1L1,11,102,349,40.487,4.58,17,0.996,0.988,1.023,0.820,0.541,0.374,0.167,0.090,0.094,0.069
B7ZC38,Endophilin-B2 OS=Homo sapiens GN=SH3GLB2 PE=2 SV=1,SH3GLB2,8,21,400,44.334,5.82,5,0.996,0.913,0.956,0.822,0.557,0.366,0.206,0.160,0.114,0.087
B7ZKJ8,35 kDa inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4 PE=2 SV=1,ITIH4,3,6,935,103.816,6.89,2,0.996,0.937,1.041,1.010,0.991,0.783,0.753,0.552,0.558,0.521
B8ZZC8,Methyltransferase-like protein 5 OS=Homo sapiens GN=METTL5 PE=4 SV=1,METTL5,10,26,244,27.755,8.22,13,0.996,0.999,1.014,0.983,0.989,0.734,0.700,0.613,0.474,0.450
B8ZZD4,Tax1-binding protein 1 OS=Homo sapiens GN=TAX1BP1 PE=4 SV=1,TAX1BP1,3,6,813,93.551,5.44,2,0.996,1.038,0.967,0.857,0.667,0.468,0.355,0.260,0.195,0.166
B8ZZN6,Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=2 SV=1,SUMO1,4,44,146,16.634,6.2,19,0.996,0.981,0.965,0.736,0.511,0.427,0.404,0.299,0.255,0.243
B8ZZS0,BET1-like protein OS=Homo sapiens GN=BET1L PE=2 SV=1,BET1L,1,2,152,17.096,8.88,1,0.996,1.034,0.921,0.814,0.749,0.603,0.447,0.368,0.308,0.257
C9J6P4,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=4 SV=1,ZC3HAV1,11,28,1024,114.013,8.56,13,0.996,0.976,0.909,0.659,0.468,0.318,0.274,0.124,0.097,0.094
C9J7E5,Transportin-3 OS=Homo sapiens GN=TNPO3 PE=4 SV=1,TNPO3,38,206,957,107.978,5.71,64,0.996,0.995,0.995,0.881,0.650,0.403,0.204,0.136,0.112,0.087
C9J8T6,Cytochrome c oxidase copper chaperone OS=Homo sapiens GN=COX17 PE=4 SV=1,COX17,3,11,98,10.846,7.77,8,0.996,1.107,1.014,1.081,1.080,0.995,1.011,0.940,0.843,0.742
C9JA08,60S ribosomal export protein NMD3 OS=Homo sapiens GN=NMD3 PE=4 SV=1,NMD3,17,55,529,60.087,6.62,20,0.996,0.987,0.949,0.901,0.836,0.619,0.485,0.304,0.122,0.105
C9JCC6,Dr1-associated corepressor OS=Homo sapiens GN=DRAP1 PE=2 SV=1,DRAP1,8,52,212,23.19,5.27,16,0.996,1.037,1.019,0.989,0.910,0.735,0.574,0.393,0.231,0.154
C9JEH3,Angio-associated migratory cell protein OS=Homo sapiens GN=AAMP PE=2 SV=1,AAMP,16,65,435,46.792,4.42,28,0.996,0.968,0.926,0.873,0.773,0.621,0.518,0.317,0.174,0.117
C9JEJ2,Choline-phosphate cytidylyltransferase A OS=Homo sapiens GN=PCYT1A PE=4 SV=1,PCYT1A,4,12,380,43.237,8.5,4,0.996,1.003,0.973,1.018,0.894,0.637,0.451,0.352,0.265,0.194
C9JIF9,Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=4 SV=1,APEH,21,75,737,81.622,5.54,30,0.996,1.031,0.980,0.933,0.841,0.725,0.580,0.468,0.356,0.305
C9JJ19,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens GN=MRPS34 PE=2 SV=2",MRPS34,1,2,225,26.316,9.89,1,0.996,0.962,1.026,0.944,0.761,0.483,0.258,0.165,0.110,0.096
D4PHA4,"GC-rich promoter binding protein 1, isoform CRA_c OS=Homo sapiens GN=GPBP1 PE=4 SV=1",GPBP1,1,2,493,55.492,7.47,1,0.996,0.994,1.052,0.854,0.685,0.506,0.457,0.276,0.199,0.125
D6REX3,Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=2 SV=1,SEC31A,43,177,1251,136.141,6.98,48,0.996,0.961,0.944,0.747,0.418,0.271,0.140,0.075,0.061,0.060
D6RF23,Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=4 SV=1,GNB2L1,6,20,101,11.24,4.88,1,0.996,0.993,0.981,1.088,1.053,0.808,0.635,0.292,0.098,0.063
D6RFG8,Deoxycytidine kinase OS=Homo sapiens GN=DCK PE=2 SV=1,DCK,11,52,317,36.741,5.43,18,0.996,0.979,0.961,0.938,0.884,0.731,0.535,0.303,0.157,0.114
D6RJ07,Zinc finger protein 346 OS=Homo sapiens GN=ZNF346 PE=2 SV=1,ZNF346,4,8,310,34.623,9.22,4,0.996,0.983,0.966,0.832,0.632,0.401,0.218,0.104,0.078,0.060
D6W592,Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRPLL PE=4 SV=1,HNRPLL,14,45,542,60.061,7.85,15,0.996,0.985,0.952,0.576,0.383,0.240,0.148,0.111,0.092,0.086
E5KLJ5,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=3 SV=1",OPA1,1,2,1015,117.67,7.77,1,0.996,1.050,1.051,0.868,0.801,0.579,0.383,0.316,0.276,0.216
E5RIM7,Copper transport protein ATOX1 OS=Homo sapiens GN=ATOX1 PE=2 SV=1,ATOX1,6,56,73,7.869,7.24,23,0.996,1.037,0.978,0.925,0.809,0.747,0.638,0.535,0.472,0.437
E5RJD8,Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=4 SV=1,TBCA,11,130,119,14.297,5.12,50,0.996,0.983,0.974,0.931,0.869,0.724,0.645,0.578,0.476,0.438
E5RJF8,Centrin-3 OS=Homo sapiens GN=CETN3 PE=4 SV=1,CETN3,6,17,191,22.409,4.82,7,0.996,0.996,0.871,0.659,0.538,0.440,0.317,0.257,0.183,0.186
E5RJR5,S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=2 SV=1,SKP1,14,137,163,18.708,4.7,57,0.996,0.991,0.985,1.001,1.013,0.828,0.788,0.610,0.415,0.293
E7EMK3,Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=2 SV=1,FLOT2,5,19,483,53.104,5.24,6,0.996,0.966,0.895,0.818,0.645,0.483,0.337,0.239,0.149,0.087
E7EN19,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=4 SV=1,MAP4K4,8,20,1272,144.828,7.49,1,0.996,0.967,1.055,0.992,0.845,0.473,0.253,0.169,0.090,0.068
E7EP72,UPF0449 protein C19orf25 OS=Homo sapiens GN=C19orf25 PE=2 SV=1,C19orf25,4,12,158,17.045,6.01,3,0.996,1.061,0.891,0.892,0.885,0.861,0.752,0.594,0.502,0.486
E7EPT4,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens GN=NDUFV2 PE=4 SV=1",NDUFV2,4,12,252,27.889,8,3,0.996,1.077,0.971,1.048,1.218,1.384,1.017,0.545,0.303,0.182
E7EQ64,Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=3 SV=1,PRSS1,6,138,261,28.105,7.25,24,0.996,0.959,1.373,0.872,0.875,0.728,0.700,0.672,0.565,0.605
E7EQR8,Protein YIPF3 OS=Homo sapiens GN=YIPF3 PE=4 SV=1,YIPF3,2,3,356,38.864,5.6,1,0.996,1.034,1.149,1.148,0.952,0.672,0.836,0.522,0.411,0.227
E7EQY1,Protein FAM136A OS=Homo sapiens GN=FAM136A PE=2 SV=1,FAM136A,8,55,245,26.758,8.24,19,0.996,0.972,0.985,1.043,1.068,0.945,0.943,0.652,0.481,0.416
E7EQZ4,Survival motor neuron protein OS=Homo sapiens GN=SMN1 PE=4 SV=1,SMN1,2,6,294,31.669,5.71,3,0.996,0.887,0.819,0.577,0.331,0.163,0.093,0.036,0.039,0.031
E7ERK9,Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4 PE=4 SV=1,EIF2B4,11,37,544,59.677,9.42,1,0.996,0.982,0.935,0.932,0.832,0.447,0.146,0.123,0.057,0.043
E7ERS3,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens GN=ZC3H18 PE=4 SV=1,ZC3H18,21,73,977,108.875,8.44,25,0.996,0.993,0.884,0.727,0.593,0.442,0.320,0.231,0.169,0.161
E7ESA6,Focal adhesion kinase 1 OS=Homo sapiens GN=PTK2 PE=4 SV=1,PTK2,13,28,1096,124.003,6.62,13,0.996,1.041,0.975,0.915,0.839,0.680,0.420,0.233,0.163,0.129
E7ESC7,Macrophage erythroblast attacher OS=Homo sapiens GN=MAEA PE=2 SV=1,MAEA,7,15,434,49.361,8.98,6,0.996,0.977,0.973,0.909,0.716,0.511,0.331,0.212,0.162,0.143
E7ETA6,Methyl-CpG-binding domain protein 1 OS=Homo sapiens GN=PCM1 PE=2 SV=1,PCM1,32,87,2016,227.591,5.03,19,0.996,1.019,0.920,0.808,0.707,0.554,0.364,0.300,0.188,0.133
E7ETU7,"39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=3 SV=1",MRPL3,2,4,375,41.602,9.58,2,0.996,1.001,0.968,0.927,0.825,0.576,0.380,0.306,0.225,0.184
E7EUC7,UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=4 SV=1,UGP2,14,85,517,57.769,8.13,26,0.996,0.978,1.007,0.973,0.901,0.755,0.662,0.297,0.144,0.103
E7EVA0,Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=2 SV=1,MAP4,82,535,2297,245.292,6.23,6,0.996,0.972,0.995,0.993,0.932,0.677,0.633,0.446,0.303,0.224
E7EVC7,Autophagy-related protein 16-1 OS=Homo sapiens GN=ATG16L1 PE=4 SV=1,ATG16L1,5,14,624,69.968,6.62,4,0.996,1.009,0.951,0.928,0.881,0.708,0.532,0.335,0.225,0.164
E7EW20,Unconventional myosin-VI OS=Homo sapiens GN=MYO6 PE=2 SV=1,MYO6,53,195,1286,148.742,8.56,5,0.996,0.945,1.009,0.954,0.889,0.458,0.105,0.079,0.030,0.034
E7EWR4,Cleavage stimulation factor subunit 2 OS=Homo sapiens GN=CSTF2 PE=2 SV=1,CSTF2,10,39,597,62.903,6.87,10,0.996,0.971,0.985,0.945,0.878,0.715,0.477,0.336,0.227,0.200
